BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BC240;65000;42;3085,6;34350;33;10598;;75;13683,6;100;24/1/2023;21,093;21%;Baik
Jan-23;BC242;0;0;0;53000;1;2120;;1;2120;100;24/1/2023;27,842;28%;Baik
Jan-23;BC262;2200;1;12,9;115500;2;24766;;3;24778,9;100;25/1/2023;67,986;68%;Cukup
Jan-23;BC263;30000;19;2134,9;253600;26;37251;;45;39385,9;100;24/1/2023;22,319;22%;Baik
Jan-23;BC270;44200;39;2172,1;22500;45;13143;;84;15315,1;160;24/1/2023;26,99;17%;Baik
Jan-23;BC280;318900;154;12397;107650;75;29993;;229;42390;100;6/1/2023;48,977;49%;Baik
Jan-23;BC281;145000;42;1359;170400;40;33738;;82;35097;160;6/1/2023;51,374;32%;Baik
Jan-23;BC297;318350;273;11497,5;34300;110;22104;;383;33601,5;150;6/1/2023;60,1;40%;Baik
Jan-23;BC309;12500;6;2394,6;80400;11;9816;;17;12210,6;100;24/1/2023;9,015;9%;Baik
Jan-23;BC312;272350;180;10680,6;102100;119;29503;;299;40183,6;150;24/1/2023;62,073;41%;Baik
Jan-23;BC315;0;0;0;200100;13;112364;;13;112364;200;30/1/2023;34,453;17%;Baik
Jan-23;BC318;0;0;0;45000;2;9110;;2;9110;160;30/1/2023;46,603;29%;Baik
Jan-23;BC319;232700;62;6122,9;235600;36;38525;;98;44647,9;200;24/1/2023;77,18;39%;Baik
